consommation_energie,classe_consommation_energie,estimation_ges,classe_estimation_ges,annee_construction,surface_habitable,nombre_niveaux,surface_baies_orientees_nord,surface_baies_orientees_est_ouest,surface_baies_orientees_sud,surface_planchers_hauts_deperditifs,surface_planchers_bas_deperditifs,surface_parois_verticales_opaques_deperditives,longitude,latitude,tr001_modele_dpe_type_libelle,tr002_type_batiment_libelle
153.0,D,9.0,B,1989,233.0,2.0,0.0,18.48,8.3,116.5,120.0,226.0,,,Vente,Maison
396.96,F,17.47,C,1974,116.8,,,,,,,,3.54989,44.537129,Vente,Maison
0.0,A,0.0,A,1948,80.0,2.0,0.0,0.0,2.2,40.0,40.0,120.0,,,Copropriete,Maison
149.0,C,44.0,E,2001,232.68,2.0,3.86,8.93,9.0,107.17,107.17,193.2,,,Vente,Maison
0.0,A,0.0,A,1948,80.0,2.0,5.83,0.0,6.45,40.0,41.0,139.7,3.49785,44.517781,Copropriete,Appartement
523.4,G,157.02,G,1974,109.0,,,,,,,,,,Vente,Maison
195.0,D,2.72,A,1900,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Location,Maison
0.0,N,0.0,N,1947,47.0,1.0,0.0,0.9,2.75,47.0,47.0,46.0,,,Vente,Maison
192.91,D,33.69,D,1948,462.0,3.0,5.92,87.12,4.86,616.0,154.0,476.0,3.855545,44.732746,Vente,Logements collectifs
242.13,E,43.78,E,1948,351.0,3.0,37.09,4.26,37.33,351.0,117.0,457.0,3.855664,44.732615,Vente,Logements collectifs
202.63,D,8.67,B,2013,59.5,,,,,,,,3.225924,44.835649,Neuf,Maison
304.93,E,14.02,C,2003,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.285637,44.727214,Vente,Maison
220.0,D,66.0,F,1989,85.0,2.0,0.8,0.0,8.5,45.0,45.0,121.04,,,Vente,Maison
120.0,C,36.0,E,1989,183.22,2.0,0.0,20.27,3.98,91.43,91.43,178.55,,,Location,Appartement
1356.0,G,43.0,E,1947,89.0,2.0,0.0,2.7,2.74,45.0,45.0,133.0,,,Vente,Maison
285.0,E,66.0,F,1948,55.1,1.0,0.0,4.8,4.8,55.1,55.1,58.75,,,Vente,Appartement
0.0,A,0.0,A,1948,72.0,1.0,0.0,7.44,3.0,72.0,72.0,90.7,3.499329,44.517818,Location,Appartement
640.34,G,36.98,E,1995,31.0,1.0,0.0,5.92,0.0,31.0,31.0,54.05,3.502521,44.519107,Location,Appartement
0.0,A,0.0,A,1973,41.0,1.0,0.0,0.88,8.92,41.0,41.0,57.8,3.49404,44.518141,Vente,Appartement
0.0,A,0.0,A,1948,58.0,1.0,5.31,3.3,0.5,58.0,58.0,85.0,3.628276,44.430164,Vente,Maison
236.0,E,7.0,B,1947,84.81,1.0,3.3,3.03,5.09,59.06,59.81,107.58,,,Vente,Maison
0.0,N,0.0,N,1947,33.0,1.0,0.0,0.0,2.68,33.0,33.0,30.0,,,Vente,Appartement
228.0,D,13.0,C,2001,108.0,1.0,0.0,11.44,3.64,108.0,108.0,106.0,,,Vente,Maison
425.0,F,25.0,D,1948,49.5,1.0,1.34,1.34,2.68,49.5,49.5,78.0,,,Vente,Appartement
480.0,G,29.0,D,1978,49.5,1.0,0.66,1.34,1.98,49.5,49.5,65.0,,,Location,Appartement
539.0,G,7.0,B,1947,90.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
92.0,C,21.0,D,2006,91.5,1.0,10.5,4.99,0.0,91.5,91.5,102.5,,,Location,Appartement
361.0,F,16.0,C,1983,173.0,2.0,0.0,6.87,14.91,150.0,150.0,267.0,,,Vente,Maison
162.0,D,48.0,E,2006,128.24,1.0,2.84,5.8,9.3,128.24,128.24,138.46,,,Vente,Maison
0.0,N,0.0,N,1947,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
0.0,N,0.0,N,1947,160.0,2.0,0.0,9.0,0.0,80.0,80.0,107.0,,,Vente,Maison
0.0,N,0.0,N,1947,112.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2886682,48.969063,Vente,Maison
0.0,N,0.0,N,1947,60.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
180.1,D,54.03,E,1974,41.0,1.0,0.0,0.0,13.64,41.0,41.0,50.0,,,Location,Appartement
317.0,E,95.0,G,1948,108.5,1.0,0.0,3.27,3.88,39.91,68.59,112.56,,,Vente,Maison
137.0,C,8.0,B,1948,163.0,1.0,0.3,9.6,12.78,137.0,126.0,117.0,,,Vente,Maison
